edad,segmento,saldo_total,numero_productos,visitas_app_mes,usa_web,usa_tarjeta_credito,reclamos_6m,satisfaccion_encuesta,tasa_credito_personal,rango_ingresos,region,cerrara_cuenta
74,Estándar,163.13,3,9,1,1,0,4.5,34.11,Medio,Selva,0
20,Preferente,27227.99,4,2,0,1,0,3.0,41.28,Medio,Sierra,0
54,Premium,28208.97,4,8,1,1,1,1.7,35.87,Alto,Selva,0
68,Estándar,28233.26,3,5,1,1,1,1.5,20.02,Medio,Costa,1
24,Premium,16175.66,1,9,1,0,0,3.4,35.76,Bajo,Sierra,0
38,Preferente,18118.19,3,9,1,0,1,3.0,37.68,Bajo,Costa,0
26,Estándar,24918.19,1,4,0,1,0,3.8,17.46,Bajo,Sierra,1
56,Estándar,21288.4,2,2,1,1,0,2.2,50.55,Medio,Costa,0
35,Preferente,0.0,3,6,0,0,0,2.6,37.49,Muy Alto,Sierra,0
21,Estándar,16553.01,1,6,1,1,1,1.1,40.38,Alto,Costa,0
42,Estándar,7228.9,2,7,0,0,4,3.4,25.68,Muy Alto,Costa,0
31,Estándar,22628.17,3,8,1,1,1,2.7,40.52,Muy Alto,Sierra,0
67,Preferente,64778.89,4,5,1,1,0,4.7,43.72,Medio,Sierra,0
26,Estándar,25512.22,3,8,1,1,0,3.6,37.03,Bajo,Sierra,0
43,Preferente,15297.05,5,10,0,0,0,2.6,34.93,Medio,Sierra,0
70,Premium,33827.02,3,5,1,1,1,2.1,27.85,Alto,Selva,0
19,Premium,27240.32,5,3,0,1,0,4.6,33.27,Medio,Selva,0
37,Preferente,26301.42,2,5,1,1,0,1.1,30.9,Medio,Costa,1
45,Estándar,29102.76,3,3,1,0,0,2.3,39.58,Bajo,Costa,0
64,Preferente,50848.15,2,8,1,1,1,4.8,28.2,Medio,Sierra,0
24,Estándar,3036.67,2,9,1,1,0,3.6,39.52,Medio,Costa,0
61,Estándar,27104.48,1,7,0,1,0,3.1,28.29,Medio,Costa,0
25,Estándar,6104.28,2,7,1,1,0,1.8,32.9,Alto,Costa,0
64,Estándar,28332.69,2,6,0,1,0,4.3,39.93,Bajo,Costa,0
52,Preferente,6219.7,3,9,1,0,0,1.8,29.37,Muy Alto,Sierra,0
31,Preferente,13739.5,3,5,1,1,0,2.0,40.2,Bajo,Costa,1
34,Estándar,15573.65,4,5,1,1,0,1.8,39.42,Muy Alto,Costa,1
53,Estándar,34637.25,1,5,1,0,0,1.6,32.83,Medio,Selva,0
67,Premium,33776.82,2,6,1,1,1,4.8,44.29,Alto,Selva,0
57,Estándar,1314.24,1,2,1,0,1,3.4,35.62,Bajo,Selva,0
21,Estándar,20824.01,5,6,1,0,0,3.6,43.82,Medio,Costa,0
19,Estándar,9356.3,2,6,1,1,2,4.8,49.35,Alto,Costa,0
23,Preferente,1122.43,1,5,1,1,0,1.9,33.07,Bajo,Costa,0
71,Preferente,16744.74,4,7,0,1,0,1.0,40.16,Bajo,Costa,0
59,Estándar,15372.76,4,6,1,1,0,3.4,29.9,Medio,Costa,1
21,Estándar,56400.75,2,5,0,1,0,3.0,26.74,Bajo,Selva,0
71,Preferente,26494.4,5,3,1,1,2,2.9,33.44,Bajo,Selva,0
46,Preferente,0.0,4,5,0,1,1,1.2,24.1,Medio,Selva,0
35,Estándar,11528.39,4,5,1,1,0,2.8,27.5,Bajo,Sierra,0
43,Premium,35320.75,5,5,1,1,0,2.2,39.73,Medio,Sierra,1
61,Estándar,51326.64,1,4,0,0,0,2.1,30.89,Alto,Sierra,1
51,Estándar,0.0,4,4,1,1,2,1.9,40.68,Medio,Selva,0
27,Premium,0.0,3,4,1,1,0,2.3,37.4,Bajo,Sierra,0
53,Estándar,48064.48,4,3,0,1,1,2.4,49.81,Medio,Costa,1
31,Preferente,25844.21,1,9,1,1,0,2.2,39.19,Medio,Costa,0
48,Estándar,6975.61,1,6,0,0,0,4.9,43.91,Medio,Sierra,1
65,Estándar,28019.44,2,6,0,1,1,4.7,38.22,Medio,Costa,0
32,Premium,0.0,3,8,1,0,0,3.3,37.49,Muy Alto,Selva,0
25,Estándar,20050.63,1,1,1,0,1,4.9,44.32,Alto,Sierra,0
31,Preferente,24917.32,5,7,1,1,1,5.0,40.35,Bajo,Sierra,0
40,Estándar,33864.05,3,2,1,1,0,2.4,36.68,Medio,Costa,0
74,Estándar,4791.56,3,1,1,1,0,2.8,36.65,Medio,Costa,0
57,Estándar,21285.31,5,6,1,0,0,4.8,39.31,Muy Alto,Costa,0
38,Preferente,6118.63,4,7,1,1,0,3.4,29.63,Muy Alto,Sierra,0
33,Estándar,23830.76,5,2,0,1,1,1.9,29.29,Medio,Costa,0
62,Preferente,6569.81,5,6,1,0,1,3.8,46.4,Medio,Selva,0
35,Estándar,13878.49,4,6,1,0,0,1.8,49.92,Medio,Sierra,1
64,Premium,5062.77,4,7,1,0,0,2.4,27.57,Medio,Sierra,0
70,Estándar,29767.04,4,5,0,1,1,1.9,29.65,Bajo,Selva,1
41,Preferente,32876.77,4,5,1,1,0,2.0,44.14,Medio,Selva,1
43,Preferente,16480.69,4,3,0,1,1,1.0,39.27,Medio,Costa,0
42,Preferente,20573.57,5,6,1,1,0,4.5,40.41,Medio,Selva,0
62,Preferente,0.0,2,9,1,1,0,2.2,42.17,Medio,Costa,0
58,Preferente,15504.85,2,7,1,1,1,1.3,33.07,Alto,Costa,0
46,Preferente,19246.93,1,7,1,1,1,1.3,37.64,Medio,Costa,0
32,Estándar,59311.9,2,6,1,1,1,3.2,37.02,Medio,Sierra,0
62,Estándar,3320.49,2,3,0,1,1,5.0,28.13,Alto,Costa,1
18,Premium,41962.66,5,3,1,1,0,1.6,37.52,Medio,Sierra,0
42,Preferente,34952.88,4,5,1,0,0,1.4,44.9,Bajo,Sierra,0
24,Preferente,24209.55,4,8,1,0,1,2.8,32.33,Bajo,Sierra,0
26,Estándar,46379.31,5,9,1,1,0,3.3,36.22,Bajo,Costa,0
41,Estándar,25581.58,2,4,0,0,1,2.2,36.65,Bajo,Selva,0
18,Estándar,25837.39,5,5,1,1,0,2.2,32.72,Alto,Sierra,0
61,Preferente,19203.19,1,6,1,1,1,2.7,40.42,Medio,Costa,0
25,Estándar,38353.53,4,10,0,0,0,2.3,29.56,Bajo,Selva,1
41,Estándar,36447.04,3,8,0,1,0,4.7,45.66,Alto,Costa,0
28,Estándar,10614.84,1,5,1,1,1,1.2,40.01,Medio,Sierra,1
68,Estándar,211.29,1,6,1,0,0,1.9,27.51,Medio,Sierra,0
34,Estándar,16955.29,5,4,1,1,1,4.2,48.58,Bajo,Costa,0
25,Estándar,7999.42,2,5,1,1,0,4.3,36.34,Bajo,Costa,0
52,Preferente,19047.13,4,7,1,0,0,1.4,29.22,Medio,Selva,0
52,Estándar,38561.57,3,3,1,0,0,4.9,43.84,Alto,Costa,1
50,Estándar,13140.48,1,9,1,0,1,3.8,38.96,Bajo,Costa,0
22,Estándar,19357.65,3,6,0,0,0,2.1,20.82,Medio,Sierra,0
59,Estándar,20870.34,2,5,1,0,1,2.8,30.79,Muy Alto,Sierra,0
56,Estándar,32726.46,2,8,0,1,1,2.2,37.23,Medio,Sierra,0
58,Estándar,0.0,3,7,1,0,0,1.6,17.72,Medio,Selva,1
45,Preferente,10899.5,4,8,1,1,0,2.2,35.68,Alto,Costa,0
24,Estándar,23169.26,2,5,1,0,0,3.3,36.26,Alto,Sierra,0
26,Preferente,38001.18,3,4,0,1,0,4.3,25.53,Medio,Sierra,0
25,Preferente,12621.46,1,9,0,1,1,2.5,37.17,Alto,Costa,0
29,Preferente,0.0,3,7,1,1,1,2.4,35.06,Medio,Selva,0
51,Estándar,29295.67,3,4,1,1,0,2.9,25.47,Alto,Selva,0
50,Estándar,10469.56,5,6,1,0,1,3.6,42.36,Muy Alto,Costa,0
65,Estándar,2155.0,2,7,1,1,1,4.0,41.7,Medio,Sierra,0
72,Estándar,10634.82,4,4,1,0,0,2.3,32.68,Medio,Sierra,0
40,Premium,17232.12,4,7,0,0,0,3.3,33.41,Medio,Costa,1
41,Estándar,10928.83,5,3,0,1,0,2.6,40.81,Alto,Selva,0
54,Estándar,0.0,4,4,0,1,2,3.9,33.39,Alto,Sierra,0
52,Preferente,33455.99,3,7,1,0,0,1.7,19.55,Bajo,Sierra,0
61,Preferente,39123.13,5,5,0,1,0,2.0,38.9,Alto,Costa,0
57,Estándar,29772.83,1,6,0,1,2,2.7,28.49,Alto,Costa,0
39,Estándar,2934.71,2,3,1,1,1,4.6,31.88,Alto,Costa,0
44,Estándar,16977.63,2,4,1,0,0,3.3,46.66,Alto,Sierra,0
52,Estándar,19902.18,2,6,1,0,1,4.9,33.93,Bajo,Sierra,0
18,Estándar,28981.92,3,6,1,1,1,1.4,35.01,Medio,Costa,0
52,Estándar,30025.11,1,5,0,0,0,2.8,39.08,Alto,Costa,1
54,Estándar,8987.39,5,6,1,1,0,2.7,39.04,Muy Alto,Costa,0
64,Estándar,21229.93,5,9,0,1,0,3.4,27.65,Bajo,Sierra,0
31,Estándar,26859.21,2,7,1,1,0,4.2,34.52,Medio,Sierra,0
20,Estándar,41837.33,1,4,1,1,0,4.4,35.29,Alto,Costa,0
18,Estándar,30567.6,1,6,1,1,0,3.7,37.18,Alto,Costa,0
22,Preferente,31835.85,1,6,1,1,0,3.6,37.31,Medio,Costa,0
43,Preferente,21257.4,4,7,1,1,1,4.8,55.7,Bajo,Costa,0
72,Estándar,41156.89,4,4,1,0,1,2.5,25.59,Alto,Sierra,0
31,Estándar,26146.44,2,5,0,1,0,4.3,42.84,Alto,Costa,0
56,Estándar,7083.68,1,5,1,1,0,4.7,44.47,Alto,Costa,0
44,Preferente,41050.55,1,5,0,1,0,3.0,38.94,Alto,Sierra,0
26,Preferente,30468.55,5,3,1,1,0,3.9,29.8,Medio,Selva,0
32,Estándar,13354.34,5,7,1,1,0,2.5,48.32,Muy Alto,Selva,0
32,Premium,12807.61,2,5,0,1,0,1.6,17.46,Alto,Selva,1
43,Estándar,24448.63,1,12,1,1,1,3.3,29.53,Medio,Sierra,0
59,Estándar,26947.77,2,5,0,1,1,1.8,44.37,Muy Alto,Sierra,0
30,Preferente,22959.38,5,6,1,0,1,2.8,32.04,Muy Alto,Sierra,0
68,Preferente,24669.63,5,3,0,0,1,4.5,47.77,Alto,Selva,0
49,Preferente,45499.36,4,4,1,1,0,1.3,22.91,Medio,Selva,0
56,Preferente,36073.15,2,6,1,1,0,1.1,26.1,Medio,Costa,1
66,Estándar,22859.53,2,6,1,1,0,3.4,30.75,Medio,Costa,0
69,Preferente,34119.66,1,7,1,0,2,2.3,38.34,Bajo,Costa,0
49,Estándar,4512.14,1,5,0,0,0,2.7,33.22,Medio,Sierra,1
21,Preferente,25968.91,4,13,1,0,1,2.6,31.08,Medio,Sierra,1
47,Estándar,47139.6,3,1,0,1,0,1.3,46.36,Bajo,Selva,0
54,Preferente,16729.31,3,6,1,0,1,1.0,47.11,Muy Alto,Costa,0
40,Estándar,7285.49,3,4,1,0,0,4.6,31.68,Medio,Costa,0
56,Preferente,10218.67,2,3,1,1,0,1.9,21.32,Medio,Selva,1
62,Estándar,3655.5,2,4,0,1,1,2.7,17.74,Medio,Costa,0
32,Preferente,8228.57,5,3,0,0,0,4.9,36.91,Bajo,Costa,1
60,Estándar,14442.38,2,4,0,1,1,4.3,40.25,Alto,Sierra,0
46,Estándar,0.0,2,6,1,1,1,1.4,35.5,Medio,Costa,0
53,Estándar,20234.28,2,6,0,1,1,3.0,34.43,Medio,Costa,0
30,Estándar,33534.16,4,10,1,1,0,3.9,28.56,Medio,Costa,0
49,Preferente,6383.66,2,6,0,1,0,3.8,40.24,Medio,Costa,0
24,Estándar,42789.26,1,6,0,0,0,4.0,48.43,Medio,Sierra,0
68,Premium,27661.88,1,3,1,0,0,2.8,17.26,Bajo,Costa,0
39,Estándar,35458.71,5,7,0,1,0,1.7,34.38,Bajo,Costa,0
45,Estándar,10132.48,4,5,1,1,0,2.9,27.24,Medio,Costa,0
19,Preferente,32817.88,1,7,1,1,0,3.6,23.08,Alto,Sierra,0
59,Preferente,3620.99,4,3,0,0,0,3.4,25.96,Medio,Costa,0
62,Estándar,33353.71,4,8,1,1,0,1.3,38.04,Bajo,Costa,0
74,Estándar,22577.59,5,8,1,0,2,1.3,38.24,Bajo,Costa,0
70,Preferente,28298.77,4,6,0,1,0,4.9,46.68,Medio,Costa,0
23,Estándar,2366.08,2,8,0,0,0,1.6,35.07,Medio,Costa,0
45,Premium,6573.95,4,8,1,1,0,2.2,20.93,Bajo,Sierra,0
45,Premium,28958.42,5,6,0,0,0,4.1,33.09,Medio,Selva,1
61,Preferente,5774.78,5,12,1,0,1,2.6,23.91,Bajo,Selva,0
61,Estándar,26948.09,5,5,1,0,1,1.7,25.35,Medio,Sierra,0
37,Preferente,0.0,1,4,0,1,0,2.9,39.64,Medio,Costa,0
47,Estándar,32722.61,2,10,1,0,0,3.3,36.55,Muy Alto,Sierra,0
28,Estándar,1512.15,1,10,1,1,0,2.8,39.7,Bajo,Costa,0
72,Estándar,28284.5,3,7,1,1,0,4.7,32.14,Medio,Sierra,0
45,Estándar,29384.46,2,6,1,1,0,2.1,41.32,Muy Alto,Costa,0
42,Preferente,9548.42,4,1,1,0,3,3.6,31.69,Medio,Selva,0
56,Preferente,28730.4,5,4,0,1,0,1.4,43.93,Medio,Selva,0
50,Preferente,23906.63,3,7,1,1,0,2.6,37.76,Medio,Costa,0
18,Estándar,11917.37,2,9,1,1,0,4.0,33.34,Bajo,Costa,0
74,Estándar,4871.68,1,5,1,1,0,1.9,36.7,Medio,Sierra,1
44,Estándar,0.0,5,4,1,1,1,3.4,34.86,Muy Alto,Costa,0
74,Premium,25244.75,1,6,1,1,2,1.6,47.77,Medio,Selva,0
69,Estándar,0.0,2,4,1,1,1,1.4,36.96,Medio,Costa,0
30,Preferente,21430.16,2,6,1,1,0,3.1,34.99,Medio,Costa,0
58,Estándar,16048.28,3,3,1,0,1,3.7,33.09,Medio,Sierra,0
20,Estándar,30187.14,4,3,1,0,1,1.5,41.75,Medio,Costa,0
56,Preferente,15469.32,1,6,0,0,2,4.7,40.66,Bajo,Costa,0
23,Estándar,15058.28,3,5,1,0,0,1.9,32.81,Medio,Sierra,0
25,Preferente,30978.06,5,10,0,1,0,1.5,25.75,Medio,Sierra,0
44,Premium,25025.87,4,6,0,1,0,1.8,27.78,Alto,Sierra,0
26,Estándar,24742.34,3,10,1,0,0,1.7,33.53,Medio,Sierra,0
54,Estándar,27039.01,1,6,1,1,1,1.4,45.79,Medio,Costa,0
50,Estándar,0.0,2,6,1,0,2,4.2,33.0,Bajo,Costa,0
68,Premium,31351.83,5,4,1,1,0,3.0,30.25,Bajo,Costa,0
59,Estándar,29187.03,1,4,0,1,0,2.6,20.91,Medio,Selva,0
61,Preferente,4749.75,4,2,1,0,0,4.8,47.11,Alto,Costa,0
41,Preferente,16338.79,4,6,0,1,0,2.5,39.55,Medio,Costa,0
32,Preferente,19410.39,2,3,0,0,0,1.7,41.37,Medio,Selva,1
71,Estándar,17982.55,2,7,1,1,1,2.1,42.69,Muy Alto,Selva,0
49,Preferente,25007.9,5,5,1,1,2,2.0,33.68,Bajo,Selva,0
49,Premium,41470.5,5,5,0,0,0,3.0,35.68,Alto,Costa,0
41,Estándar,36226.5,2,7,1,1,2,2.2,46.91,Medio,Sierra,1
58,Estándar,316.71,2,5,1,0,0,3.1,36.44,Medio,Costa,0
69,Premium,29331.05,4,4,0,0,0,3.7,39.7,Muy Alto,Selva,0
66,Estándar,39934.0,2,8,0,1,0,4.1,41.96,Alto,Costa,0
66,Preferente,25802.13,3,5,1,1,0,3.8,40.14,Medio,Costa,0
69,Estándar,36364.71,1,5,0,1,0,1.8,33.97,Medio,Costa,1
29,Estándar,50184.06,2,4,1,1,1,1.5,34.73,Medio,Costa,0
56,Preferente,35355.64,5,6,1,1,0,3.2,41.22,Bajo,Sierra,0
19,Estándar,23739.63,3,6,1,0,0,1.8,41.21,Muy Alto,Selva,1
20,Estándar,35676.33,5,4,1,1,1,1.3,44.35,Bajo,Sierra,1
66,Estándar,22173.32,3,7,1,1,1,3.1,39.41,Medio,Costa,0
54,Estándar,20358.55,2,4,0,1,0,2.3,39.77,Alto,Selva,1
66,Estándar,14728.79,1,6,1,0,0,4.0,31.43,Alto,Costa,0
73,Estándar,43451.2,5,8,1,1,1,2.3,30.35,Medio,Costa,0
34,Premium,7723.57,3,4,0,1,0,4.9,41.25,Alto,Costa,0
66,Estándar,42985.52,4,3,1,1,1,4.0,30.41,Medio,Costa,0
19,Preferente,27497.96,2,7,0,1,0,1.2,34.83,Alto,Costa,0
19,Estándar,0.0,1,4,0,0,1,3.0,46.03,Medio,Costa,0
45,Preferente,25514.74,2,8,1,1,0,3.3,44.76,Muy Alto,Selva,0
71,Estándar,0.0,4,9,1,1,0,3.8,37.41,Bajo,Selva,0
40,Premium,29382.62,1,6,1,1,1,3.0,32.63,Medio,Costa,0
54,Estándar,33278.47,4,6,0,0,0,2.9,34.01,Medio,Costa,0
49,Estándar,11114.66,2,7,1,1,0,2.5,41.94,Alto,Costa,0
50,Estándar,21853.22,3,11,0,1,0,2.1,34.71,Alto,Costa,0
18,Estándar,49312.36,2,3,1,0,0,4.8,30.53,Bajo,Costa,1
36,Estándar,12413.8,2,8,1,0,0,2.3,44.73,Bajo,Costa,0
19,Estándar,4116.39,2,3,1,1,0,1.3,36.45,Medio,Sierra,1
70,Preferente,42224.95,5,4,1,1,0,1.7,30.38,Medio,Sierra,0
61,Estándar,49438.81,4,5,1,0,1,4.4,38.83,Medio,Costa,0
43,Estándar,20055.44,4,7,1,0,0,3.3,42.77,Medio,Sierra,0
49,Preferente,35171.95,4,7,1,0,0,4.1,26.94,Medio,Sierra,0
23,Preferente,40122.14,5,5,1,0,1,4.2,33.4,Medio,Costa,0
49,Estándar,8862.74,3,10,1,1,0,4.3,33.03,Muy Alto,Costa,0
72,Estándar,12720.41,2,3,1,0,0,3.2,38.62,Bajo,Selva,0
21,Estándar,38463.12,3,2,1,0,1,1.7,40.06,Medio,Sierra,0
72,Preferente,45275.21,5,5,0,1,0,1.6,30.59,Medio,Costa,0
28,Preferente,28443.21,4,6,0,0,0,3.3,23.06,Bajo,Sierra,0
73,Estándar,6802.78,2,7,1,1,0,2.5,43.25,Medio,Costa,0
34,Preferente,49805.92,1,5,1,1,0,3.2,26.04,Medio,Sierra,0
55,Preferente,12035.44,1,5,1,1,1,3.0,37.17,Bajo,Costa,0
41,Estándar,14972.93,3,7,1,1,1,3.4,33.94,Medio,Costa,0
22,Preferente,25135.07,4,8,1,1,0,1.1,36.3,Medio,Sierra,0
69,Estándar,43312.41,1,2,1,0,0,1.1,48.21,Bajo,Sierra,0
51,Estándar,32809.64,3,10,1,1,0,3.9,59.31,Medio,Costa,0
23,Estándar,26222.98,5,5,0,1,1,1.8,21.93,Medio,Costa,0
39,Estándar,26949.33,3,5,1,0,1,3.6,42.87,Bajo,Costa,0
28,Estándar,20652.72,3,7,1,1,0,3.2,33.75,Bajo,Costa,0
65,Premium,28372.09,3,5,1,1,1,4.9,43.38,Medio,Costa,0
33,Estándar,0.0,2,9,1,0,0,4.3,42.66,Alto,Sierra,0
50,Estándar,15550.89,3,14,0,1,1,2.7,46.28,Muy Alto,Costa,0
26,Estándar,23619.83,3,8,0,1,0,3.5,37.28,Bajo,Sierra,0
23,Premium,2734.79,2,7,1,1,2,1.5,27.88,Bajo,Sierra,0
33,Estándar,25794.85,2,5,0,1,1,2.5,42.42,Bajo,Costa,0
46,Estándar,16932.93,5,10,0,1,1,3.9,35.94,Medio,Sierra,0
20,Estándar,46332.14,4,6,1,0,1,3.5,33.13,Medio,Selva,0
37,Estándar,43595.3,1,3,1,0,1,2.9,31.19,Medio,Costa,0
53,Premium,13012.92,1,3,1,0,0,1.7,43.05,Alto,Selva,0
36,Premium,17737.43,3,6,0,1,0,4.2,47.83,Medio,Sierra,0
43,Estándar,18890.79,5,7,1,1,1,2.1,25.44,Muy Alto,Sierra,0
20,Premium,13225.11,3,9,1,1,0,4.3,39.98,Bajo,Costa,0
36,Preferente,22925.37,1,8,1,1,0,3.4,32.02,Bajo,Sierra,0
37,Preferente,8625.77,2,5,1,1,1,2.5,23.26,Bajo,Costa,0
49,Estándar,3040.77,4,10,1,1,0,1.2,36.18,Bajo,Sierra,0
24,Estándar,29340.67,5,4,1,0,1,1.9,28.33,Muy Alto,Selva,0
69,Estándar,29442.94,2,7,1,1,0,4.6,22.38,Medio,Sierra,0
58,Preferente,7935.26,4,5,0,1,0,4.3,28.75,Medio,Costa,0
50,Estándar,33430.33,5,6,0,1,1,3.3,26.78,Medio,Costa,0
57,Estándar,10526.33,5,7,0,0,1,2.9,29.83,Bajo,Costa,1
56,Estándar,23797.48,1,4,0,1,0,3.6,24.39,Bajo,Selva,0
35,Preferente,32305.16,2,7,0,1,1,2.9,31.84,Medio,Costa,0
57,Estándar,19495.81,5,4,1,0,1,3.6,29.29,Medio,Costa,1
18,Preferente,26821.11,5,9,0,0,1,2.2,38.0,Muy Alto,Costa,1
28,Premium,12253.56,4,10,1,0,0,4.4,39.75,Medio,Selva,0
45,Estándar,17053.0,1,4,1,1,1,3.8,37.08,Medio,Costa,0
74,Preferente,16912.11,3,5,0,0,1,2.3,33.12,Bajo,Selva,0
42,Estándar,8801.32,1,8,1,1,0,4.3,32.9,Alto,Sierra,0
67,Preferente,17348.39,3,10,0,1,1,2.9,28.3,Bajo,Selva,0
40,Estándar,0.0,2,8,1,1,1,1.7,28.5,Muy Alto,Costa,0
48,Preferente,12632.69,2,9,1,1,0,1.3,40.63,Medio,Costa,1
47,Preferente,15726.87,5,8,0,0,1,3.8,20.92,Bajo,Costa,0
59,Premium,16157.3,2,8,1,1,0,4.5,34.35,Medio,Costa,0
52,Preferente,16377.54,5,6,1,0,1,4.2,32.41,Muy Alto,Sierra,1
24,Estándar,19073.54,1,2,0,1,0,3.6,39.79,Medio,Costa,0
33,Preferente,27191.62,2,9,1,0,2,1.6,23.6,Bajo,Costa,0
43,Preferente,33117.76,1,2,1,1,0,1.4,35.1,Bajo,Sierra,1
65,Estándar,10253.52,1,2,0,1,1,2.4,37.74,Medio,Costa,0
74,Estándar,1951.99,2,4,1,1,0,4.4,19.76,Bajo,Costa,0
69,Premium,4369.33,1,4,0,1,1,4.8,26.41,Alto,Costa,0
66,Preferente,12691.96,2,5,1,0,0,2.0,34.27,Muy Alto,Sierra,0
19,Preferente,14721.18,2,6,0,0,2,4.0,39.11,Muy Alto,Sierra,0
18,Estándar,8450.06,2,9,1,1,0,3.3,36.46,Bajo,Sierra,1
65,Preferente,558.25,3,6,1,1,0,1.1,39.48,Medio,Costa,0
29,Estándar,13158.19,1,4,0,1,1,3.2,26.37,Bajo,Costa,0
22,Preferente,22721.4,4,5,1,0,1,4.2,22.29,Medio,Selva,0
54,Estándar,28925.44,2,5,0,1,1,2.1,35.68,Alto,Sierra,1
49,Preferente,11638.65,1,5,1,1,0,4.6,25.17,Medio,Sierra,0
72,Premium,13805.03,5,12,0,1,0,1.9,28.08,Alto,Sierra,1
26,Estándar,6099.53,2,5,1,1,1,1.3,42.46,Alto,Costa,1
58,Premium,19528.41,2,5,1,1,1,1.6,36.51,Bajo,Selva,0
52,Estándar,7273.57,4,4,1,0,0,4.3,30.45,Medio,Sierra,0
36,Preferente,28596.92,3,7,0,0,1,2.7,29.42,Bajo,Sierra,0
65,Preferente,0.0,3,7,1,1,0,4.2,39.97,Medio,Selva,0
33,Estándar,14605.55,2,4,1,1,0,3.1,36.7,Bajo,Costa,0
20,Preferente,24516.61,1,7,1,1,2,2.9,25.28,Muy Alto,Sierra,0
37,Preferente,22757.52,5,6,1,1,0,4.2,19.42,Medio,Selva,0
41,Estándar,60395.5,5,8,1,1,0,2.7,50.05,Medio,Costa,0
71,Estándar,25247.0,1,4,1,1,1,4.2,25.22,Alto,Costa,0
73,Preferente,4939.18,2,4,1,1,1,1.4,39.22,Alto,Sierra,0
50,Preferente,18568.04,5,3,0,0,1,3.5,47.09,Alto,Costa,0
